,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
114,92,50,8,0.532,0.21757354346335947,"(100, 'attractiveness', 5, 1, 5, 1)",3
115,92,50,8,0.532,0.21757354346335947,"(100, 'attractiveness', 5, 1, 5, 1)",3
116,92,50,8,0.532,0.21757354346335947,"(100, 'attractiveness', 5, 1, 5, 1)",3
117,90,50,10,0.525,0.2188915435987515,"(100, 'attractiveness', 5, 1, 5, 1)",3
118,88,50,12,0.53,0.2254875087827766,"(100, 'attractiveness', 5, 1, 5, 1)",3
119,86,50,14,0.534,-0.028422607151537417,"(100, 'attractiveness', 5, 1, 5, 1)",3
120,82,50,18,0.519,0.23058105814252222,"(100, 'attractiveness', 5, 1, 5, 1)",3
121,78,50,22,0.506,0.285486733930174,"(100, 'attractiveness', 5, 1, 5, 1)",3
122,78,50,22,0.506,0.285486733930174,"(100, 'attractiveness', 5, 1, 5, 1)",3
123,74,50,26,0.512,0.00016171948761262573,"(100, 'attractiveness', 5, 1, 5, 1)",3
124,74,50,26,0.512,0.00016171948761262573,"(100, 'attractiveness', 5, 1, 5, 1)",3
125,72,50,28,0.522,0.08718628866847007,"(100, 'attractiveness', 5, 1, 5, 1)",3
126,70,50,30,0.517,0.12873707588719413,"(100, 'attractiveness', 5, 1, 5, 1)",3
127,68,50,32,0.516,0.1209995637130608,"(100, 'attractiveness', 5, 1, 5, 1)",3
128,68,50,32,0.516,0.1209995637130608,"(100, 'attractiveness', 5, 1, 5, 1)",3
129,64,50,36,0.521,0.09530525535917182,"(100, 'attractiveness', 5, 1, 5, 1)",3
130,62,50,38,0.516,0.12225879032122847,"(100, 'attractiveness', 5, 1, 5, 1)",3
131,60,50,40,0.519,0.07050940831364984,"(100, 'attractiveness', 5, 1, 5, 1)",3
132,60,50,40,0.519,0.07050940831364984,"(100, 'attractiveness', 5, 1, 5, 1)",3
133,58,50,42,0.516,0.09529921637513823,"(100, 'attractiveness', 5, 1, 5, 1)",3
134,58,50,42,0.516,0.09529921637513823,"(100, 'attractiveness', 5, 1, 5, 1)",3
135,54,50,46,0.517,0.13114718922412538,"(100, 'attractiveness', 5, 1, 5, 1)",3
136,50,50,50,0.514,0.19032617611329009,"(100, 'attractiveness', 5, 1, 5, 1)",3
137,50,50,50,0.514,0.19032617611329009,"(100, 'attractiveness', 5, 1, 5, 1)",3
138,50,50,50,0.514,0.19032617611329009,"(100, 'attractiveness', 5, 1, 5, 1)",3
139,48,50,52,0.515,0.16549869857972213,"(100, 'attractiveness', 5, 1, 5, 1)",3
140,44,50,56,0.51,0.16531605896734933,"(100, 'attractiveness', 5, 1, 5, 1)",3
141,40,50,60,0.507,0.15757252399366248,"(100, 'attractiveness', 5, 1, 5, 1)",3
142,36,50,64,0.501,0.17714267182107452,"(100, 'attractiveness', 5, 1, 5, 1)",3
143,36,50,64,0.501,0.17714267182107452,"(100, 'attractiveness', 5, 1, 5, 1)",3
144,32,50,68,0.501,0.18882623252548952,"(100, 'attractiveness', 5, 1, 5, 1)",3
145,32,50,68,0.501,0.18882623252548952,"(100, 'attractiveness', 5, 1, 5, 1)",3
146,32,50,68,0.501,0.18882623252548952,"(100, 'attractiveness', 5, 1, 5, 1)",3
147,32,50,68,0.501,0.18882623252548952,"(100, 'attractiveness', 5, 1, 5, 1)",3
148,28,50,72,0.495,0.24154451580039696,"(100, 'attractiveness', 5, 1, 5, 1)",3
149,26,50,74,0.492,0.21646106796829637,"(100, 'attractiveness', 5, 1, 5, 1)",3
150,24,50,76,0.491,0.2037092623000422,"(100, 'attractiveness', 5, 1, 5, 1)",3
151,22,50,78,0.49000000000000005,0.21100656195287695,"(100, 'attractiveness', 5, 1, 5, 1)",3
152,18,50,82,0.487,0.22144310930322061,"(100, 'attractiveness', 5, 1, 5, 1)",3
153,18,50,82,0.487,0.22144310930322061,"(100, 'attractiveness', 5, 1, 5, 1)",3
154,18,50,82,0.487,0.22144310930322061,"(100, 'attractiveness', 5, 1, 5, 1)",3
155,18,50,82,0.487,0.22144310930322061,"(100, 'attractiveness', 5, 1, 5, 1)",3
156,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",4
157,94,50,6,0.8,0.9846736469281694,"(100, 'attractiveness', 5, 1, 10, 1)",4
158,90,50,10,0.772,-0.7101724286288488,"(100, 'attractiveness', 5, 1, 10, 1)",4
159,76,50,24,0.778,-0.558297967544954,"(100, 'attractiveness', 5, 1, 10, 1)",4
160,76,50,24,0.778,-0.558297967544954,"(100, 'attractiveness', 5, 1, 10, 1)",4
161,70,50,30,0.769,-0.5432881713277237,"(100, 'attractiveness', 5, 1, 10, 1)",4
162,68,50,32,0.769,-0.554809745687437,"(100, 'attractiveness', 5, 1, 10, 1)",4
163,64,50,36,0.767,-0.5701014583518218,"(100, 'attractiveness', 5, 1, 10, 1)",4
